,C,Items,L,Objective,Users
0,25,200,5,49.99999999855746,10
0,50,200,5,49.99999999683912,10
0,75,200,5,50.00000075645705,10
0,100,200,5,50.00000005123086,10
0,125,200,5,50.00000006181922,10
0,150,200,5,49.99999996927817,10
0,175,200,5,50.00000004541242,10
0,200,200,5,50.000000018469485,10
0,200,200,10,99.99999999948476,10
0,200,200,20,200.00000001287816,10
0,200,200,30,300.0000000050259,10
0,200,200,50,500.0000000018353,10
